Time,RawValue,Label
0.0,297.2419109205571,contract
0.001,306.40834984009297,contract
0.002,300.71163806643824,contract
0.003,318.4937199662365,contract
0.004,320.73566344409585,contract
0.005,215.58219465829526,contract
0.006,324.5070819598227,contract
0.007,385.6669532460075,contract
0.008,314.66608477222064,contract
0.009,241.90652229182572,contract
0.01,266.22799648559123,contract
0.011,334.5613583951617,contract
0.012,329.1105106999811,contract
0.013,281.30413270417176,contract
0.014,196.68637332446636,contract
0.015,263.9894530531591,contract
0.016,427.77296152329814,contract
0.017,441.153839764922,contract
0.018,254.31425597968882,contract
0.019,240.6922069554864,contract
0.02,313.4779991470955,contract
0.021,335.8236942490895,contract
0.022,391.6065897175337,contract
0.023,300.7805483078869,contract
0.024,252.8815377732383,contract
0.025,236.81415990031866,contract
0.026,298.15909043208063,contract
0.027,353.1821753004282,contract
0.028,293.1689079071818,contract
0.029,307.7608644146947,contract
0.03,262.8846865887437,contract
0.031,319.17698364781074,contract
0.032,509.1749061067282,contract
0.033,470.91370192281323,contract
0.034,235.08844769416362,contract
0.035,125.42876392262399,contract
0.036,210.70813278262247,contract
0.037,369.98058225847103,contract
0.038,325.7261917235284,contract
0.039,296.8724855551534,contract
0.04,303.13032484742195,contract
0.041,256.7127841775295,contract
0.042,298.40534877548305,contract
0.043,250.16017616719853,contract
0.044,313.63843729863635,contract
0.045,260.11259976552896,contract
0.046,323.0707747232803,contract
0.047,463.4428734344829,contract
0.048,383.72653963265697,contract
0.049,386.6484268080369,contract
0.05,185.3239990018791,contract
0.051,189.31705752803137,contract
0.052,267.2921998075855,contract
0.053,339.40269982468897,contract
0.054,410.619955728785,contract
0.055,285.8946372273148,contract
0.056,316.08509503816015,contract
0.057,373.4387350777237,contract
0.058,427.5034939684746,contract
0.059,221.4514313437937,contract
0.06,226.74619815450112,contract
0.061,311.03048320602346,contract
0.062,221.48464642044658,contract
0.063,348.90778087062677,contract
0.064,302.5213682498935,contract
0.065,304.03395450918055,contract
0.066,301.16846320585455,contract
0.067,277.58416319357065,contract
0.068,337.77170632661046,contract
0.069,352.0416136465598,contract
0.07,311.9115413375816,contract
0.071,241.13443297429404,contract
0.072,304.5644315315059,contract
0.073,303.5106576770302,contract
0.074,333.0231999458666,contract
0.075,265.4485058365566,contract
0.076,273.4748313625585,contract
0.077,400.67176058947837,contract
0.078,340.34982002397567,contract
0.079,383.47059968280314,contract
0.08,296.8039619897807,contract
0.081,190.77978084667012,contract
0.082,278.12638541154416,contract
0.083,270.5948280497126,contract
0.084,298.05753078170864,contract
0.085,384.1802536166815,contract
0.086,335.52495816598093,contract
0.087,244.19256123459888,contract
0.088,293.08173319793286,contract
0.089,314.73149598703776,contract
0.09,284.14054192043756,contract
0.091,318.2203694153228,contract
0.092,354.4074089852639,contract
0.093,437.6416572756439,contract
0.094,363.7096474261495,contract
0.095,188.6641501538466,contract
0.096,312.90934264161723,contract
0.097,435.11891843939185,contract
0.098,361.6327442402159,contract
0.099,158.95582856627013,contract
0.1,98.85040456854256,contract
0.101,309.8167779259845,contract
0.102,323.40369936837277,contract
0.103,259.648161506561,contract
0.104,268.70774075007125,contract
0.105,352.0621767939892,contract
0.106,372.9217188398041,contract
0.107,325.9305188362671,contract
0.108,318.46900047603947,contract
0.109,253.12363144989834,contract
0.11,282.7983968796893,contract
0.111,329.25414878127043,contract
0.112,493.7967459905252,contract
0.113,492.85647514718323,contract
0.114,238.2240937488669,contract
0.115,269.5638905605119,contract
0.116,266.9883534931845,contract
0.117,196.2055470092359,contract
